order_id,signal_id,ts_ms,market_id,token_id,side,signal_side,signal_type,edge,market_lag,game_time,intended_price,intended_size,filled,fill_price,fill_ts_ms,exit_bid_15s,pnl_15s,exit_bid_30s,pnl_30s,exit_bid_60s,pnl_60s,exit_bid_120s,pnl_120s,edge_bucket,minute_bucket
41,41,1778331652508,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331652793.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
42,42,1778331653038,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,0,,,0.89,,0.89,,0.89,,0.89,,7.5-10%,30-45
43,43,1778331653578,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,0,,,0.89,,0.89,,0.89,,0.89,,7.5-10%,30-45
44,44,1778331656203,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331656300.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
45,45,1778331656733,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331658329.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
46,46,1778331658849,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331659546.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
47,47,1778331659948,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331660052.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
50,50,1778331660203,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331660812.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
51,51,1778331660744,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331660812.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
48,48,1778331660994,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331661122.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
52,52,1778331661270,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331661374.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
49,49,1778331661538,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331661817.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
53,53,1778331661799,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331661817.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
54,54,1778331662326,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331662480.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
55,55,1778331662854,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331663113.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
56,56,1778331663384,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331663546.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
57,57,1778331663928,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331664828.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
58,58,1778331664991,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331665716.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
59,59,1778331665523,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331665716.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
60,60,1778331666054,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,0,,,0.89,,0.89,,0.89,,0.89,,5-7.5%,30-45
61,61,1778331668670,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331668860.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
62,62,1778331669197,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331670866.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
63,63,1778331671324,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331672538.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
64,64,1778331672556,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.05842799999999998,0.078428,2239.0,0.92,17.0,1,0.91,1778331672956.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
